Nom du lieu;Type de lieu;Ville;D�partement;R�gion;Capacité (personnes);Prix (€);Description;URL Heavento;URL ABC Salles;URL Kactus;URL Carmin.io;Contact/Téléphone;Email;Statut;Dernière mise à jour
 Carats;Lieu �v�nementiel;Hauts-de-Seine;;�le-de-France;10-250 personnes;Dès 640€ - 4000€;;https://heavento.fr/location-de-salles/112-carats/location-de-salle/courbevoie/ile-de-france/france/;https://www.abcsalles.com/lieu/112-carats;https://www.kactus.com/fr/lieux/112-carats;https://carmin.io/location/hautsdeseine/112-carats;;;Actif;27/08/2025
 Mandel;Lieu �v�nementiel;Paris;;�le-de-France;20-500 personnes;Dès 640€ - 4000€;;https://heavento.fr/location-de-salles/6-mandel/location-de-salle/paris-16/ile-de-france/france/;https://www.abcsalles.com/lieu/6-mandel;https://www.kactus.com/fr/lieux/6-mandel;https://carmin.io/location/paris/6-mandel;;;Actif;27/08/2025
 Spirits – le Club DEFINITIVEMENT FERME (A VERIFIER);Club;Paris;;�le-de-France;20-500 personnes;Dès 640€ - 4000€;;https://heavento.fr/location-de-salles/7-spirits-le-club/location-de-salle/paris-13/ile-de-france/france/;https://www.abcsalles.com/lieu/7-spirits-le-club-definitivement-ferme-a-verifier;https://www.kactus.com/fr/lieux/7-spirits-le-club-definitivement-ferme-a-verifier;https://carmin.io/location/paris/7-spirits-le-club-definitivement-ferme-a-verifier;;;Fermé;27/08/2025
A la Farandole;Lieu �v�nementiel;Haute-Garonne;;Midi-Pyr�n�es;10-250 personnes;Dès 240€ - 1440€;;https://heavento.fr/location-de-salles/a-la-farandole/location-de-salle/gratentour/midi-pyrenees/france/;https://www.abcsalles.com/lieu/a-la-farandole;https://www.kactus.com/fr/lieux/a-la-farandole;https://carmin.io/location/hautegaronne/a-la-farandole;;;Actif;27/08/2025
A la Ferme du Bois;Ferme;Somme;;Picardie;10-250 personnes;Dès 240€ - 1440€;;https://heavento.fr/location-de-salles/a-la-ferme-du-bois/location-de-salle/hebecourt/picardie/france/;https://www.abcsalles.com/lieu/a-la-ferme-du-bois;https://www.kactus.com/fr/lieux/a-la-ferme-du-bois;https://carmin.io/location/somme/a-la-ferme-du-bois;;;Fermé;27/08/2025
A l’Instant;Lieu �v�nementiel;Val-d'Oise;;�le-de-France;10-250 personnes;Dès 640€ - 4000€;;https://heavento.fr/location-de-salles/a-linstant/location-de-salle/cergy/ile-de-france/france/;https://www.abcsalles.com/lieu/a-linstant;https://www.kactus.com/fr/lieux/a-linstant;https://carmin.io/location/valdoise/a-linstant;;;Actif;27/08/2025
AC H�tel Paris Le Bourget Airport;H�tel;Seine-Saint-Denis;;�le-de-France;10-250 personnes;Dès 640€ - 4000€;;https://heavento.fr/location-de-salles/ac-hotel-paris-le-bourget-airport/location-de-salle/dugny/ile-de-france/france/;https://www.abcsalles.com/lieu/ac-htel-paris-le-bourget-airport;https://www.kactus.com/fr/lieux/ac-htel-paris-le-bourget-airport;https://carmin.io/location/seinesaintdenis/ac-htel-paris-le-bourget-airport;;;Actif;27/08/2025
Abbaye Aux Dames – La Cit� Musicale;Lieu �v�nementiel;Charente-Maritime;;Poitou-Charentes;10-250 personnes;Dès 240€ - 1440€;;https://heavento.fr/location-de-salles/abbaye-aux-dames-la-cite-musicale/location-d-abbaye/saintes/poitou-charentes/france/;https://www.abcsalles.com/lieu/abbaye-aux-dames-la-cit-musicale;https://www.kactus.com/fr/lieux/abbaye-aux-dames-la-cit-musicale;https://carmin.io/location/charentemaritime/abbaye-aux-dames-la-cit-musicale;;;Actif;27/08/2025
Abbaye De Villeneuve;Salle de r�ception;Loire-Atlantique;;Pays de la Loire;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Loire-Atlantique, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-villeneuve/location-d-abbaye/les-sorinieres/pays-de-la-loire/france/;https://www.abcsalles.com/lieu/abbaye-de-villeneuve;https://www.kactus.com/fr/lieux/abbaye-de-villeneuve;https://carmin.io/location/loireatlantique/abbaye-de-villeneuve;;;Actif;27/08/2025
Abbaye Royale de Moncel;Salle de r�ception;Oise;;Picardie;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Oise, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-royale-de-moncel/location-d-abbaye/pontpoint/picardie/france/;https://www.abcsalles.com/lieu/abbaye-royale-de-moncel;https://www.kactus.com/fr/lieux/abbaye-royale-de-moncel;https://carmin.io/location/oise/abbaye-royale-de-moncel;;;Actif;27/08/2025
Abbaye Saint Eus�be;Salle de r�ception;Vaucluse;;Provence-Alpes-C�te d'Azur;10-250 personnes;Dès 480€ - 2800€;Joyau du patrimoine religieux situé à Vaucluse, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-saint-eusebe/location-d-abbaye/saignon/provence-alpes-cote-dazur/france/;https://www.abcsalles.com/lieu/abbaye-saint-eusbe;https://www.kactus.com/fr/lieux/abbaye-saint-eusbe;https://carmin.io/location/vaucluse/abbaye-saint-eusbe;;;Actif;27/08/2025
Abbaye Saint-Beno�t;Salle de r�ception;Pas-de-Calais;;Nord-Pas-de-Calais;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Pas-de-Calais. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-saint-benoit/location-d-abbaye/ham-en-artois/nord-pas-de-calais/france/;https://www.abcsalles.com/lieu/abbaye-saintbenot;https://www.kactus.com/fr/lieux/abbaye-saintbenot;https://carmin.io/location/pasdecalais/abbaye-saintbenot;;;Actif;27/08/2025
